Ensembl_ID	start	end	gene_name	chromosome
ENSG00000225560	9347511	9356814	FAM197Y8	Y
ENSG00000229549	9357797	9360599	TSPY8	Y
ENSG00000228383	9367803	9375681	FAM197Y7	Y
ENSG00000286120	9375129	9377121	AC006158.2	Y
ENSG00000188656	9378122	9380871	TSPY7P	Y
ENSG00000237802	9388122	9396027	FAM197Y6	Y
ENSG00000286173	9395475	9397467	AC006158.3	Y
ENSG00000228927	9398421	9401223	TSPY3	Y
ENSG00000225516	9458613	9466003	FAM197Y5	Y
ENSG00000258992	9466955	9469749	TSPY1	Y
ENSG00000274196	9479053	9486313	FAM197Y4	Y
ENSG00000238074	9487313	9489893	TSPY9P	Y
ENSG00000230066	9497287	9506596	FAM197Y3	Y
ENSG00000270073	9507596	9510175	TSPY6P	Y
ENSG00000234803	9517599	9526926	FAM197Y2	Y
ENSG00000236424	9527880	9530682	TSPY10	Y
ENSG00000224336	9544917	9547147	FAM197Y1	Y
ENSG00000236786	9548108	9550681	TSPY15P	Y
ENSG00000231436	9610571	9621276	RBMY3AP	Y
ENSG00000234110	9624183	9626352	TSPY25P	Y
ENSG00000226223	9640249	9640716	TSPY16P	Y
ENSG00000232617	9665229	9669010	AC017019.1	Y
ENSG00000183385	9691100	9693957	TTTY8	Y
ENSG00000147761	9706824	9715262	TTTY7B	Y
ENSG00000228890	9717653	9721296	TTTY21	Y
ENSG00000212855	9740584	9758476	TTTY2	Y
ENSG00000129845	9753156	9774289	TTTY1	Y
ENSG00000224075	9784372	9833895	TTTY22	Y
ENSG00000228379	9813315	9817513	AC010891.1	Y
ENSG00000229208	9831418	9846696	RBMY2NP	Y
ENSG00000274445	9868462	9868702	AC006986.1	Y
ENSG00000231874	9869664	9870781	TSPY18P	Y
ENSG00000187657	9905595	9908139	TSPY13P	Y
ENSG00000239225	9910798	9911962	TTTY23	Y
ENSG00000234950	9951553	9959423	RBMY2OP	Y
ENSG00000236718	9954532	10035299	RBMY2QP	Y
ENSG00000243643	10036195	10038375	TSPY20P	Y
ENSG00000225685	10066554	10069151	TSPY5P	Y
ENSG00000278478	10070131	10070409	AC006987.1	Y
ENSG00000251766	10090410	10090528	RNA5SP518	Y
ENSG00000252289	10092875	10092993	RNA5SP519	Y
ENSG00000231411	10171590	10172725	DUX4L31	Y
ENSG00000226061	10173853	10174207	PCMTD1P1	Y
ENSG00000237447	10190377	10192298	CDC27P2	Y
ENSG00000225840	10197256	10199103	AC010970.1	Y
ENSG00000251705	10200155	10200306	RNA5-8SP6	Y
ENSG00000273858	11042722	11042943	AC140113.4	Y
ENSG00000273693	11085476	11086061	CDRT15P10	Y
ENSG00000271365	11107065	11107263	AC140113.3	Y
ENSG00000271309	11107389	11107596	AC140113.2	Y
ENSG00000270570	11107719	11107887	AC140113.1	Y
ENSG00000274231	11144250	11144492	AC134878.1	Y
ENSG00000278212	11153858	11215026	AC134878.2	Y
ENSG00000274502	11173618	11173821	ANKRD20A6P	Y
ENSG00000274162	11178306	11178816	SNX18P1Y	Y
ENSG00000258567	11306918	11308181	DUX4L16	Y
ENSG00000259154	11314921	11316187	DUX4L17	Y
ENSG00000259029	11321557	11322823	DUX4L18	Y
ENSG00000258991	11332329	11333595	DUX4L19	Y
ENSG00000270455	11335627	11337693	PABPC1P5	Y
ENSG00000183704	11340579	11385687	SLC9B1P1	Y
ENSG00000270242	11395699	11397076	ACTR3BP1	Y
ENSG00000275828	11412548	11418716	CHEK2P1	Y
ENSG00000225433	11445418	11445564	MTND1P12	Y
ENSG00000224567	11445708	11446101	AC134879.1	Y
ENSG00000271375	11473727	11474237	AC134879.2	Y
ENSG00000234385	11781052	11782527	RCC2P1	Y
ENSG00000215583	11922536	11923769	ASS1P6	Y
ENSG00000235649	11957208	11987386	MXRA5Y	Y
ENSG00000206159	12088010	12421587	GYG2P1	Y
ENSG00000236477	12244752	12245457	RPS24P1	Y
ENSG00000232226	12252321	12258033	ARSFP1	Y
ENSG00000243980	12273473	12273764	RN7SL702P	Y
ENSG00000232730	12321623	12322835	FAM8A4P	Y
ENSG00000224060	12339813	12347495	ARSLP1	Y
ENSG00000225117	12354096	12387328	ARSDP1	Y
ENSG00000227447	12440046	12507369	XGY1	Y
ENSG00000114374	12537650	12860839	USP9Y	Y
ENSG00000226863	12537773	12544883	SHROOM2P1	Y
ENSG00000233774	12618983	12634402	MED14P1	Y
ENSG00000286009	12661309	12663478	AC244213.1	Y
ENSG00000228411	12801973	12803830	CDY4P	Y
ENSG00000067048	12904108	12920478	DDX3Y	Y
ENSG00000234059	12930165	12948182	CASKP1	Y
ENSG00000224035	13083790	13095805	SFPQP1	Y
ENSG00000235462	13153931	13162214	TAB3P1	Y
ENSG00000223915	13230884	13231439	DPPA2P1	Y
ENSG00000183878	13248379	13480673	UTY	Y
ENSG00000215414	13286638	13287378	PSMA6P1	Y
ENSG00000154620	13703899	13706024	TMSB4Y	Y
ENSG00000241859	13703902	13915824	ANOS2P	Y
ENSG00000129864	13985772	13986513	VCY	Y
ENSG00000129862	14056227	14056958	VCY1B	Y
ENSG00000235451	14081075	14086600	PNPLA4P1	Y
ENSG00000223517	14276212	14277489	AC010723.1	Y
ENSG00000165246	14522573	14845650	NLGN4Y	Y
ENSG00000226555	14639096	14640358	AGKP1	Y
ENSG00000228787	14793642	14804033	NLGN4Y-AS1	Y
ENSG00000236131	14907898	14908068	MED13P1	Y
ENSG00000227949	14941547	14941750	CYCSP46	Y
ENSG00000224518	14941746	14942715	AC006989.1	Y
ENSG00000234620	15348662	15456074	PUDPP1	Y
ENSG00000227166	15547216	15593331	STSP1	Y
ENSG00000252689	16138248	16138379	AC011749.1	Y
ENSG00000252173	16248935	16249041	RNU6-109P	Y
ENSG00000252323	16336283	16336389	RNU6-184P	Y
ENSG00000286201	16599730	16644539	AC011751.1	Y
ENSG00000228518	17192826	17193652	SURF6P1	Y
ENSG00000271595	17464879	17465214	ELOCP35	Y
ENSG00000224989	17500958	17515018	FAM41AY1	Y
ENSG00000283076	17514502	17516715	AC015978.2	Y
ENSG00000228578	17516836	17519038	TUBB1P2	Y
ENSG00000230663	17552800	17579754	FAM224B	Y
ENSG00000252315	17557864	17557976	RNA5SP520	Y
ENSG00000252012	17559774	17559889	RNA5SP521	Y
ENSG00000273966	17568962	17569051	AC015978.1	Y
ENSG00000238191	17621259	17625832	CLUHP1	Y
ENSG00000226353	17628513	17629402	TAF9P1	Y
ENSG00000275578	17705968	17708185	AC007742.1	Y
ENSG00000226449	17721598	17723177	CDY5P	Y
ENSG00000225896	17726752	17727080	ELOCP36	Y
ENSG00000224166	17729528	17744596	PRYP1	Y
ENSG00000229129	17757001	17758125	ACTG1P2	Y
ENSG00000250868	17768980	17777400	XKRY	Y
ENSG00000223555	17782210	17784815	USP9YP23	Y
ENSG00000235521	17788315	17789484	USP9YP27	Y
ENSG00000252513	17789003	17789162	RNU1-128P	Y
ENSG00000224964	17797983	17800696	TRAPPC2P3	Y
ENSG00000226011	17809807	17825329	OFD1P1Y	Y
ENSG00000225740	17837201	17837528	ELOCP6	Y
ENSG00000129873	17877410	17880220	CDY2B	Y
ENSG00000229138	17882099	17883708	CDY6P	Y
ENSG00000224485	17908755	17910806	USP9YP7	Y
ENSG00000226116	17912699	17921630	USP9YP6	Y
ENSG00000237558	17951589	17953500	CDY7P	Y
ENSG00000233378	17984349	17993260	USP9YP34	Y
ENSG00000237616	17995201	17997252	USP9YP32	Y
ENSG00000224033	18022299	18023908	CDY8P	Y
ENSG00000182415	18025787	18028597	CDY2A	Y
ENSG00000230412	18068483	18068810	ELOCP12	Y
ENSG00000226611	18080681	18096202	OFD1P2Y	Y
ENSG00000225895	18105314	18108102	TRAPPC2P8	Y
ENSG00000233120	18116527	18117695	USP9YP15	Y
ENSG00000252166	18116848	18117007	RNU1-95P	Y
ENSG00000232744	18121195	18123799	USP9YP16	Y
ENSG00000244646	18128610	18137029	XKRY2	Y
ENSG00000229465	18147884	18149008	ACTG1P11	Y
ENSG00000231311	18161366	18176484	PRYP2	Y
ENSG00000236599	18178932	18179260	ELOCP26	Y
ENSG00000232899	18182835	18184414	CDY9P	Y
ENSG00000229302	18276607	18277495	TAF9P2	Y
ENSG00000228945	18280178	18284761	CLUHP2	Y
ENSG00000233522	18326253	18353210	FAM224A	Y
ENSG00000278391	18336960	18337049	AC007241.1	Y
ENSG00000251953	18346123	18346238	RNA5SP522	Y
ENSG00000252667	18348035	18348147	RNA5SP523	Y
ENSG00000249726	18386974	18389151	TUBB1P1	Y
ENSG00000282909	18389297	18405046	AC007241.2	Y
ENSG00000226362	18390994	18405046	FAM41AY2	Y
ENSG00000225716	18440797	18441125	ELOCP13	Y
ENSG00000229406	18453150	18472137	OFD1P4Y	Y
ENSG00000227494	18481087	18487400	USP9YP14	Y
ENSG00000252209	18486511	18486672	RNU1-48P	Y
ENSG00000249634	18490915	18494295	USP9YP5	Y
ENSG00000251510	18491740	18547698	AC022486.1	Y
ENSG00000238067	18508577	18509068	XKRYP1	Y
ENSG00000233546	18529358	18529623	PRYP5	Y
ENSG00000230377	18532326	18532656	ELOCP7	Y
ENSG00000250951	18540980	18544128	USP9YP1	Y
ENSG00000172468	18546691	18588963	HSFY1	Y
ENSG00000230458	18578417	18578560	GPM6BP1	Y
ENSG00000131007	18581206	18590521	TTTY9B	Y
ENSG00000240438	18582063	18629077	OFD1P5Y	Y
ENSG00000235479	18649671	18650279	RAB9AP4	Y
ENSG00000249606	18655520	18656190	TRAPPC2P7	Y
ENSG00000242153	18674033	18739197	OFD1P6Y	Y
ENSG00000169953	18731440	18773735	HSFY2	Y
ENSG00000236429	18741843	18741986	GPM6BP2	Y
ENSG00000176728	18772706	19077416	TTTY14	Y
ENSG00000249501	18776279	18779427	USP9YP2	Y
ENSG00000228193	18787750	18788080	ELOCP14	Y
ENSG00000248573	18790709	18791051	PRYP6	Y
ENSG00000230904	18811338	18811829	XKRYP2	Y
ENSG00000238135	18826107	18829487	USP9YP10	Y
ENSG00000224151	18833002	18839313	USP9YP28	Y
ENSG00000251970	18833729	18833890	RNU1-41P	Y
ENSG00000238088	18848264	18867280	OFD1P7Y	Y
ENSG00000217179	18872102	18872272	MTCYBP2	Y
ENSG00000217896	18985175	18986398	ZNF839P1	Y
ENSG00000185275	18992467	18992709	CD24P4	Y
ENSG00000252766	19018983	19019087	RNU6-255P	Y
ENSG00000274282	19253960	19260875	AC010133.1	Y
ENSG00000234529	19327569	19328573	GAPDHP19	Y
ENSG00000215580	19455431	19567092	BCORP1	Y
ENSG00000131002	19567313	19606274	TXLNGY	Y
ENSG00000267793	19598188	19598757	AC009977.1	Y
ENSG00000260197	19691941	19694606	AC010889.1	Y
ENSG00000012817	19703865	19744939	KDM5D	Y
ENSG00000288049	19744756	19759978	AC010889.2	Y
ENSG00000274837	19932130	19932500	AC009233.1	Y
ENSG00000237997	19986575	19987852	RCC2P2	Y
ENSG00000232522	20001185	20012204	ZNF886P	Y
ENSG00000228764	20390051	20396796	ZNF885P	Y
ENSG00000229236	20464916	20575519	TTTY10	Y
ENSG00000277438	20570222	20570519	KDM5DP1	Y
ENSG00000198692	20575776	20593154	EIF1AY	Y
ENSG00000286247	20725331	20734526	AC009494.2	Y
ENSG00000225624	20727254	20742900	TBL1YP1	Y
ENSG00000280969	20756108	20781032	RPS4Y2	Y
ENSG00000224482	20808776	20811809	HSFY4P	Y
ENSG00000216844	20843256	20843710	AC009494.1	Y
ENSG00000229551	20861337	20862337	GAPDHP17	Y
ENSG00000226504	20907344	20907562	TMEM167AP1	Y
ENSG00000254488	21038289	21044724	AC007876.1	Y
ENSG00000237427	21130870	21131181	TOMM22P1	Y
ENSG00000232634	21221106	21222089	NEFLP1	Y
ENSG00000226918	21311268	21318895	AC010086.1	Y
ENSG00000183146	21382954	21386360	PRORY	Y
ENSG00000223637	21394991	21401585	RBMY2EP	Y
ENSG00000236615	21405770	21405995	AC010086.2	Y
ENSG00000288057	21424028	21456216	AC010086.3	Y
ENSG00000237269	21430697	21437245	RBMY2TP	Y
ENSG00000169849	21468158	21470683	TSPY14P	Y
ENSG00000169811	21493519	21501968	RBMY1HP	Y
ENSG00000242393	21508299	21510470	AC010141.2	Y
ENSG00000242875	21511338	21549094	RBMY1B	Y
ENSG00000234414	21511372	21549326	RBMY1A1	Y
ENSG00000228257	21531839	21534011	AC010141.1	Y
ENSG00000184991	21565092	21605081	TTTY13	Y
ENSG00000271123	21631683	21632015	ELOCP5	Y
ENSG00000226042	21637475	21639041	CDY10P	Y
ENSG00000237023	21661926	21674008	USP9YP3	Y
ENSG00000229416	21677246	21681118	USP9YP8	Y
ENSG00000230029	21696570	21698220	CDY11P	Y
ENSG00000277519	21817579	21818218	OFD1P16Y	Y
ENSG00000286187	21825441	21846721	AC024236.1	Y
ENSG00000229725	21871331	21873550	AC007322.2	Y
ENSG00000244395	21880076	21894526	RBMY1D	Y
ENSG00000251618	21895394	21897559	AC007322.4	Y
ENSG00000242389	21903618	21918067	RBMY1E	Y
ENSG00000227444	21918935	21921106	AC007322.1	Y
ENSG00000226092	21927521	21937150	RBMY2AP	Y
ENSG00000237968	21940012	21941593	AC007322.3	Y
ENSG00000231159	21972313	22005349	OFD1P8Y	Y
ENSG00000232475	22048554	22049347	HSFY5P	Y
ENSG00000229553	22049755	22058113	USP9YP17	Y
ENSG00000228850	22064698	22065712	CDY12P	Y
ENSG00000232029	22068820	22069151	ELOCP15	Y
ENSG00000169807	22071756	22096007	PRY2	Y
ENSG00000236951	22100814	22147484	AC007359.1	Y
ENSG00000131548	22144966	22146831	TTTY6B	Y
ENSG00000169800	22168542	22182982	RBMY1F	Y
ENSG00000229159	22183850	22186021	TSPY23P	Y
ENSG00000225615	22198429	22203712	RBMY2UP	Y
ENSG00000229234	22209331	22216580	RBMY1KP	Y
ENSG00000215560	22296798	22298876	TTTY5	Y
ENSG00000229940	22305925	22307951	TSPY22P	Y
ENSG00000243040	22308859	22321825	RBMY2FP	Y
ENSG00000259247	22330452	22332500	TTTY25P	Y
ENSG00000237902	22400403	22402568	TSPY21P	Y
ENSG00000226941	22403461	22417881	RBMY1J	Y
ENSG00000235059	22438940	22485592	AC008175.1	Y
ENSG00000131538	22439593	22441458	TTTY6	Y
ENSG00000169789	22490397	22514637	PRY	Y
ENSG00000234131	22517242	22517573	ELOCP8	Y
ENSG00000224873	22520681	22521695	CDY13P	Y
ENSG00000230814	22528281	22536639	USP9YP24	Y
ENSG00000228571	22537047	22537849	HSFY7P	Y
ENSG00000230476	22580989	22614081	OFD1P9Y	Y
ENSG00000273589	22646031	22646327	AC008175.2	Y
ENSG00000224657	22649245	22658878	RBMY2BP	Y
ENSG00000224917	22670616	22672859	AC016694.1	Y
ENSG00000230727	22762851	22769787	RBMY2WP	Y
ENSG00000228240	22851584	22852715	TTTY17A	Y
ENSG00000276829	22861112	22861834	AC016911.1	Y
ENSG00000215537	22866544	22867756	ZNF736P11Y	Y
ENSG00000226906	22936455	22973284	TTTY4	Y
ENSG00000183753	22973819	23005465	BPY2	Y
ENSG00000244000	23017063	23017821	AC006366.1	Y
ENSG00000232764	23025594	23026663	TRIM60P8Y	Y
ENSG00000233126	23049247	23051195	ZNF736P3Y	Y
ENSG00000227251	23058030	23059186	TRIM60P9Y	Y
ENSG00000188120	23129355	23199094	DAZ1	Y
ENSG00000205944	23219434	23291356	DAZ2	Y
ENSG00000205936	23379484	23392697	PPP1R12BP2	Y
ENSG00000251925	23423099	23423236	SNORA70	Y
ENSG00000286744	23435905	23436006	AC009947.3	Y
ENSG00000225189	23462465	23472280	REREP1Y	Y
ENSG00000230073	23523321	23525369	AC009947.1	Y
ENSG00000215540	23537308	23546942	RBMY2CP	Y
ENSG00000236647	23549809	23551385	AC009947.2	Y
ENSG00000225466	23581595	23614640	OFD1P10Y	Y
ENSG00000224169	23657839	23659058	HSFY6P	Y
ENSG00000223407	23659466	23667822	USP9YP18	Y
ENSG00000226873	23674379	23675392	CDY14P	Y
ENSG00000227915	23678504	23678835	ELOCP16	Y
ENSG00000169763	23681440	23694579	PRYP3	Y
ENSG00000236620	23715922	23726808	XKRYP3	Y
ENSG00000224866	23734193	23736249	USP9YP25	Y
ENSG00000232424	23740258	23746693	USP9YP29	Y
ENSG00000252681	23740942	23741105	RNU1-97P	Y
ENSG00000232910	23751188	23751760	RAB9AP1	Y
ENSG00000232845	23762838	23765583	TRAPPC2P9	Y
ENSG00000237302	23771232	23798150	OFD1P11Y	Y
ENSG00000231540	23808821	23809059	ELOCP9	Y
ENSG00000223362	23855522	23857091	CDY15P	Y
ENSG00000231026	23917241	23917723	XKRYP4	Y
ENSG00000224571	23919905	23921510	USP9YP13	Y
ENSG00000226369	23934953	23940101	USP9YP11	Y
ENSG00000280961	23936727	23941622	TTTY3B	Y
ENSG00000227871	23945927	23952293	USP9YP12	Y
ENSG00000251917	23946618	23946771	RNU1-86P	Y
ENSG00000231423	23956569	23960218	RAB9AP5	Y
ENSG00000228465	23967564	23970694	TRAPPC2P10	Y
ENSG00000232585	23972780	23995081	OFD1P12Y	Y
ENSG00000234081	24006911	24007237	ELOCP10	Y
ENSG00000172352	24045229	24048019	CDY1B	Y
ENSG00000231375	24049878	24051487	CDY17P	Y
ENSG00000237467	24077799	24079812	USP9YP35	Y
ENSG00000229250	24081704	24090346	USP9YP31	Y
ENSG00000232205	24104107	24106018	CDY18P	Y
ENSG00000235981	24142358	24157843	AC023274.2	Y
ENSG00000223698	24168187	24174494	GOLGA6L11P	Y
ENSG00000242854	24179316	24183505	DNM1P24	Y
ENSG00000230977	24182477	24183071	AC023274.1	Y
ENSG00000244231	24183434	24187231	CSPG4P2Y	Y
ENSG00000172342	24186509	24191870	CSPG4P3Y	Y
ENSG00000284071	24196518	24206132	AC012005.2	Y
ENSG00000239533	24209567	24215581	GOLGA2P2Y	Y
ENSG00000274234	24210958	24211216	RN7SL818P	Y
ENSG00000225491	24232826	24238984	UBE2Q2P4Y	Y
ENSG00000224827	24276245	24277026	LINC00265-2P	Y
ENSG00000233740	24278337	24281140	CICP2	Y
ENSG00000248792	24283062	24283230	LINC00266-2P	Y
ENSG00000279274	24362335	24362409	AC012005.1	Y
ENSG00000234399	24396604	24403526	RBMY2XP	Y
ENSG00000227439	24485332	24486463	TTTY17B	Y
ENSG00000224210	24494709	24495583	TRIM60P5Y	Y
ENSG00000232003	24500263	24501505	ZNF736P12Y	Y
ENSG00000235412	24570202	24607025	TTTY4B	Y
ENSG00000183795	24607560	24639207	BPY2B	Y
ENSG00000240566	24650808	24651534	AC010153.1	Y
ENSG00000232976	24659337	24660406	TRIM60P10Y	Y
ENSG00000226270	24683657	24684935	ZNF736P2Y	Y
ENSG00000227837	24691791	24692932	TRIM60P11Y	Y
ENSG00000187191	24763069	24813492	DAZ3	Y
ENSG00000205916	24833843	24907040	DAZ4	Y
ENSG00000278602	24977176	24978317	AC006338.2	Y
ENSG00000223978	24985201	24986476	ZNF736P1Y	Y
ENSG00000278197	25009700	25010769	AC006338.1	Y
ENSG00000230819	25018499	25019303	ZNF736P5Y	Y
ENSG00000185894	25030901	25062548	BPY2C	Y
ENSG00000228296	25063083	25099892	TTTY4C	Y
ENSG00000236379	25168599	25169841	ZNF736P4Y	Y
ENSG00000274899	25174520	25175237	AC006386.1	Y
ENSG00000223641	25182277	25213389	TTTY17C	Y
ENSG00000227633	25266584	25273531	RBMY2YP	Y
ENSG00000279115	25307729	25307803	AC006386.2	Y
ENSG00000228786	25378300	25394719	LINC00266-4P	Y
ENSG00000233652	25388992	25391811	CICP1	Y
ENSG00000233944	25393154	25394056	LINC00265-3P	Y
ENSG00000223636	25431156	25437315	UBE2Q2P5Y	Y
ENSG00000172297	25454561	25460572	GOLGA2P3Y	Y
ENSG00000278242	25458926	25459184	RN7SL725P	Y
ENSG00000284380	25464006	25473621	AC006328.2	Y
ENSG00000172294	25478269	25483630	CSPG4P4Y	Y
ENSG00000240450	25482908	25486705	CSPG4P1Y	Y
ENSG00000239304	25486640	25487322	DNM1P48	Y
ENSG00000233619	25487284	25487662	AC006328.1	Y
ENSG00000197092	25495651	25501958	GOLGA6L16P	Y
ENSG00000235583	25512301	25527786	AC007562.1	Y
ENSG00000237823	25564122	25566033	CDY19P	Y
ENSG00000229709	25579790	25588444	USP9YP36	Y
ENSG00000232064	25590323	25592345	USP9YP33	Y
ENSG00000225609	25618644	25620253	CDY20P	Y
ENSG00000172288	25622162	25624902	CDY1	Y
ENSG00000270535	25662900	25663226	ELOCP34	Y
ENSG00000225287	25675060	25697346	OFD1P13Y	Y
ENSG00000225256	25699451	25702562	TRAPPC2P5	Y
ENSG00000223856	25709908	25713557	RAB9AP2	Y
ENSG00000235004	25723016	25724186	USP9YP30	Y
ENSG00000252426	25723342	25723495	RNU1-107P	Y
ENSG00000231141	25728490	25733388	TTTY3	Y
ENSG00000232614	25730011	25735160	USP9YP9	Y
ENSG00000225326	25748596	25750206	USP9YP19	Y
ENSG00000223406	25752388	25752870	XKRYP5	Y
ENSG00000229343	25813013	25814566	CDY22P	Y
ENSG00000232695	25860943	25861268	ELOCP17	Y
ENSG00000235511	25871931	25898653	OFD1P18Y	Y
ENSG00000232914	25904518	25907250	TRAPPC2P4	Y
ENSG00000223655	25918323	25918895	RAB9AP3	Y
ENSG00000230854	25923388	25929826	USP9YP20	Y
ENSG00000252625	25928979	25929142	RNU1-40P	Y
ENSG00000227635	25933833	25935881	USP9YP21	Y
ENSG00000237546	25943268	25954152	XKRYP6	Y
ENSG00000172283	25975549	25988069	PRYP4	Y
ENSG00000227867	25991241	25991572	ELOCP11	Y
ENSG00000231716	25994684	25995697	CDY23P	Y
ENSG00000234744	26002254	26008856	USP9YP26	Y
ENSG00000233156	26011435	26012237	HSFY8P	Y
ENSG00000234888	26055779	26088493	OFD1P15Y	Y
ENSG00000215507	26123674	26133308	RBMY2DP	Y
ENSG00000235014	26198331	26208148	REREP2Y	Y
ENSG00000225876	26244351	26244573	AC024067.1	Y
